Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1581750000000,10240.00000000,10245.07000000,10190.90000000,10221.76000000,2161.41288600,1581753599999,22083459.50513391,26956,1082.04199100,11053653.41141781,0
1581753600000,10221.03000000,10252.98000000,10211.82000000,10252.80000000,1415.31874500,1581757199999,14485548.81936709,17714,698.30051700,7146397.17234837,0
1581757200000,10252.24000000,10269.99000000,10221.79000000,10256.63000000,1235.81046800,1581760799999,12661580.72870867,20354,674.57033300,6910757.59492818,0
1581760800000,10256.90000000,10274.18000000,10242.21000000,10242.99000000,1345.11083100,1581764399999,13802010.03631980,20265,726.30669600,7452821.00758409,0
1581764400000,10243.41000000,10254.83000000,10220.00000000,10229.36000000,1459.27957300,1581767999999,14935903.50563108,21368,687.32131500,7035728.55760789,0
1581768000000,10229.36000000,10248.97000000,10207.97000000,10240.00000000,1588.94793700,1581771599999,16252379.18486295,21300,821.97513000,8408093.88701764,0
1581771600000,10240.00000000,10246.75000000,10214.59000000,10236.06000000,1002.49866000,1581775199999,10257706.63545332,16509,510.89292900,5227778.11133872,0
1581775200000,10236.30000000,10259.97000000,10234.02000000,10241.65000000,1632.14346800,1581778799999,16725425.11772269,22184,676.60581700,6933599.69153606,0
1581778800000,10242.84000000,10244.76000000,9801.00000000,9983.18000000,8946.71085000,1581782399999,89833225.43351906,76660,3393.79601000,34081892.51756018,0
1581782400000,9983.24000000,10095.00000000,9866.39000000,9903.95000000,11081.86430900,1581785999999,110448068.34286633,114453,4982.54883600,49676850.80895614,0
1581786000000,9903.90000000,9950.90000000,9827.00000000,9844.69000000,4567.49659800,1581789599999,45244765.20644233,50983,2015.23078200,19968507.94021606,0
1581789600000,9844.42000000,9920.00000000,9811.84000000,9914.13000000,3978.43392500,1581793199999,39306873.45481068,49269,1889.04524500,18663614.39442336,0
1581793200000,9914.14000000,9940.00000000,9891.66000000,9893.99000000,1595.72813900,1581796799999,15824422.14238188,25654,694.56215100,6888181.47624744,0
1581796800000,9893.52000000,9919.57000000,9870.33000000,9892.89000000,1455.38798200,1581800399999,14401298.04546926,24623,825.68209400,8171021.82781512,0
1581800400000,9893.96000000,9929.75000000,9891.15000000,9923.53000000,1075.80661200,1581803999999,10665797.43142890,21496,642.15371900,6366792.77243332,0
1581804000000,9923.54000000,9949.00000000,9911.17000000,9923.82000000,1259.60621500,1581807599999,12505256.60344560,16271,715.19903400,7100142.80524376,0
1581807600000,9924.94000000,9936.27000000,9882.04000000,9904.72000000,1174.50998700,1581811199999,11639279.25694081,20787,470.15772400,4659866.55562654,0
1581811200000,9904.46000000,9929.99000000,9853.02000000,9929.31000000,2196.69971800,1581814799999,21741289.82149390,29152,987.72037100,9778977.62698610,0
1581814800000,9929.60000000,9940.11000000,9910.03000000,9931.00000000,1059.73894000,1581818399999,10520797.16930325,16040,544.90618700,5409484.26715049,0
1581818400000,9930.99000000,10042.67000000,9917.07000000,10041.53000000,3013.25652200,1581821999999,30085303.88440860,31492,1682.48281700,16796776.80792011,0
1581822000000,10041.53000000,10050.00000000,9992.64000000,10000.58000000,1976.82810200,1581825599999,19816340.92839513,21263,1022.42879600,10250876.87531427,0
1581825600000,10000.62000000,10029.97000000,9975.00000000,10021.36000000,1223.50883900,1581829199999,12238306.26693229,16810,701.02103900,7012360.38001464,0
1581829200000,10020.97000000,10033.33000000,9937.00000000,9955.43000000,1470.12668400,1581832799999,14667911.69050227,22099,675.48291600,6740731.22280037,0
1581832800000,9955.43000000,9980.00000000,9945.79000000,9966.07000000,935.15815600,1581836399999,9320125.66928472,14772,486.64981300,4849974.48114546,0
1581836400000,9966.05000000,9984.45000000,9955.55000000,9959.51000000,911.47599400,1581839999999,9091496.94120785,16216,520.61054100,5193503.93986641,0
1581840000000,9959.58000000,10017.00000000,9945.94000000,9989.31000000,1444.42169000,1581843599999,14408648.84748354,19668,775.16317500,7734303.24629009,0
1581843600000,9989.32000000,10009.66000000,9961.20000000,9971.50000000,1233.49388400,1581847199999,12322223.77666054,18385,629.46483200,6288981.29641031,0
1581847200000,9971.37000000,9988.82000000,9928.48000000,9935.57000000,1732.03243100,1581850799999,17257116.79010743,24469,802.19445900,7993291.41626285,0
1581850800000,9935.57000000,9970.54000000,9901.28000000,9922.63000000,1869.58778300,1581854399999,18585066.18464617,26925,1005.57048700,9996277.32152337,0
1581854400000,9922.63000000,9953.84000000,9877.16000000,9917.42000000,2253.17478600,1581857999999,22352519.23861002,29420,1110.54291300,11019763.85933646,0
1581858000000,9917.42000000,9956.02000000,9856.60000000,9938.11000000,3593.83805400,1581861599999,35592004.93883547,45300,1801.40499900,17843953.63029759,0
1581861600000,9937.56000000,9974.98000000,9885.25000000,9895.20000000,2367.14010700,1581865199999,23495815.33304923,29137,1183.94703000,11752934.28230106,0
1581865200000,9895.50000000,9921.62000000,9825.16000000,9858.54000000,3456.89272400,1581868799999,34131409.37676561,44071,1655.04314000,16345456.63792722,0
