2020-09-02_23,0.23
2020-09-03_00,0.22
2020-09-03_01,0.23
2020-09-03_02,0.19
2020-09-03_03,0.16
2020-09-03_04,0.27
2020-09-03_05,0.3
2020-09-03_06,0.28
2020-09-03_07,0.28
2020-09-03_08,0.24
2020-09-03_09,0.26
2020-09-03_10,0.28
2020-09-03_11,0.23
2020-09-03_12,0.18
2020-09-03_13,0.26
2020-09-03_14,0.24
2020-09-03_15,0.24
2020-09-03_16,0.27
2020-09-03_17,0.32
2020-09-03_18,0.29
2020-09-03_19,0.28
2020-09-03_20,0.28
2020-09-03_21,0.28
2020-09-03_22,0.29
2020-09-03_23,0.25
2020-09-04_00,0.27
2020-09-04_01,0.26
2020-09-04_02,0.26
2020-09-04_03,0.25
2020-09-04_04,0.27
2020-09-04_05,0.27
2020-09-04_06,0.29
2020-09-04_07,0.3
2020-09-04_08,0.28
2020-09-04_09,0.26
2020-09-04_10,0.29
2020-09-04_11,0.28
2020-09-04_12,0.31
2020-09-04_13,0.27
2020-09-04_14,0.25
2020-09-04_15,0.32
2020-09-04_16,0.26
2020-09-04_17,0.23
2020-09-04_18,0.24
2020-09-04_19,0.24
2020-09-04_20,0.23
2020-09-04_21,0.22
2020-09-04_22,0.24
2020-09-04_23,0.24
2020-09-05_00,0.16
2020-09-05_01,0.23
2020-09-05_02,0.23
2020-09-05_03,0.24
2020-09-05_04,0.24
2020-09-05_05,0.26
2020-09-05_06,0.26
2020-09-05_07,0.26
2020-09-05_08,0.24
2020-09-05_09,0.27
2020-09-05_10,0.25
2020-09-05_11,0.28
2020-09-05_12,0.26
2020-09-05_13,0.29
2020-09-05_14,0.29
2020-09-05_15,0.24
2020-09-05_16,0.2
2020-09-05_17,0.18
2020-09-05_18,0.21
2020-09-05_19,0.19
2020-09-05_20,0.19
2020-09-05_21,0.21
2020-09-05_22,0.19
2020-09-05_23,0.2
2020-09-06_00,0.23
2020-09-06_01,0.23
2020-09-06_02,0.24
2020-09-06_03,0.24
2020-09-06_04,0.23
2020-09-06_05,0.23
2020-09-06_06,0.25
2020-09-06_07,0.28
2020-09-06_08,0.22
2020-09-06_09,0.27
2020-09-06_10,0.24
2020-09-06_11,0.25
2020-09-06_12,0.26
2020-09-06_13,0.19
2020-09-06_14,0.25
2020-09-06_15,0.27
2020-09-06_16,0.25
2020-09-06_17,0.3
2020-09-06_18,0.26
2020-09-06_19,0.21
2020-09-06_20,0.12
2020-09-06_21,0.25
2020-09-06_22,0.22
2020-09-06_23,0.25
2020-09-07_00,0.22
2020-09-07_01,0.23
2020-09-07_02,0.25
2020-09-07_03,0.25
2020-09-07_04,0.27
2020-09-07_05,0.26
2020-09-07_06,0.27
2020-09-07_07,0.26
2020-09-07_08,0.22
2020-09-07_09,0.22
2020-09-07_10,0.25
2020-09-07_11,0.29
2020-09-07_12,0.29
2020-09-07_13,0.26
2020-09-07_14,0.23
2020-09-07_15,0.23
2020-09-07_16,0.24
2020-09-07_17,0.22
2020-09-07_18,0.23
2020-09-07_19,0.22
2020-09-07_20,0.21
2020-09-07_21,0.19
2020-09-07_22,0.2
2020-09-07_23,0.24
2020-09-08_00,0.22
2020-09-08_01,0.2
2020-09-08_02,0.22
2020-09-08_03,0.19
2020-09-08_04,0.26
2020-09-08_05,0.26
2020-09-08_06,0.29
2020-09-08_07,0.27
2020-09-08_08,0.26
2020-09-08_09,0.21
2020-09-08_10,0.29
2020-09-08_11,0.28
2020-09-08_12,0.3
2020-09-08_13,0.26
2020-09-08_14,0.23
2020-09-08_15,0.27
2020-09-08_16,0.24
2020-09-08_17,0.25
2020-09-08_18,0.24
2020-09-08_19,0.2
2020-09-08_20,0.24
2020-09-08_21,0.24
2020-09-08_22,0.23
2020-09-08_23,0.23
2020-09-09_00,0.26
2020-09-09_01,0.25
2020-09-09_02,0.28
2020-09-09_03,0.23
2020-09-09_04,0.24
2020-09-09_05,0.24
2020-09-09_06,0.26
2020-09-09_07,0.29
2020-09-09_08,0.31
2020-09-09_09,0.31
2020-09-09_10,0.28
2020-09-09_11,0.29
2020-09-09_12,0.26
2020-09-09_13,0.27
2020-09-09_14,0.27
2020-09-09_15,0.29
2020-09-09_16,0.28
2020-09-09_17,0.27
2020-09-09_18,0.26
2020-09-09_19,0.25
2020-09-09_20,0.26
2020-09-09_21,0.25
2020-09-09_22,0.25
2020-09-09_23,0.21
2020-09-10_00,0.22
2020-09-10_01,0.21
2020-09-10_02,0.18
2020-09-10_03,0.2
2020-09-10_04,0.23
2020-09-10_05,0.2
2020-09-10_06,0.23
2020-09-10_07,0.22
2020-09-10_08,0.21
2020-09-10_09,0.23
2020-09-10_10,0.26
2020-09-10_11,0.3
2020-09-10_12,0.29
2020-09-10_13,0.35
2020-09-10_14,0.28
2020-09-10_15,0.26
2020-09-10_16,0.27
2020-09-10_17,0.28
2020-09-10_18,0.23
2020-09-10_19,0.26
2020-09-10_20,0.23
2020-09-10_21,0.24
2020-09-10_22,0.22
2020-09-10_23,0.23
2020-09-11_00,0.23
2020-09-11_01,0.23
2020-09-11_02,0.25
2020-09-11_03,0.25
2020-09-11_04,0.23
2020-09-11_05,0.25
2020-09-11_06,0.25
2020-09-11_07,0.24
2020-09-11_08,0.3
2020-09-11_09,0.28
2020-09-11_10,0.31
2020-09-11_11,0.29
2020-09-11_12,0.27
2020-09-11_13,0.3
2020-09-11_14,0.28
2020-09-11_15,0.26
2020-09-11_16,0.25
2020-09-11_17,0.24
2020-09-11_18,0.27
2020-09-11_19,0.23
2020-09-11_20,0.27
2020-09-11_21,0.25
2020-09-11_22,0.23
2020-09-11_23,0.27
2020-09-12_00,0.23
2020-09-12_01,0.24
2020-09-12_02,0.22
2020-09-12_03,0.25
2020-09-12_04,0.25
2020-09-12_05,0.26
2020-09-12_06,0.3
2020-09-12_07,0.24
2020-09-12_08,0.23
2020-09-12_09,0.26
2020-09-12_10,0.23
2020-09-12_11,0.27
2020-09-12_12,0.28
2020-09-12_13,0.26
2020-09-12_14,0.18
2020-09-12_15,0.26
2020-09-12_16,0.29
2020-09-12_17,0.28
2020-09-12_18,0.24
2020-09-12_19,0.25
2020-09-12_20,0.26
2020-09-12_21,0.28
2020-09-12_22,0.26
2020-09-12_23,0.21
2020-09-13_00,0.25
2020-09-13_01,0.25
2020-09-13_02,0.19
2020-09-13_03,0.16
2020-09-13_04,0.25
2020-09-13_05,0.22
2020-09-13_06,0.24
2020-09-13_07,0.26
2020-09-13_08,0.23
2020-09-13_09,0.26
2020-09-13_10,0.25
2020-09-13_11,0.25
2020-09-13_12,0.24
2020-09-13_13,0.24
2020-09-13_14,0.22
2020-09-13_15,0.25
2020-09-13_16,0.28
2020-09-13_17,0.26
2020-09-13_18,0.26
2020-09-13_19,0.26
2020-09-13_20,0.25
2020-09-13_21,0.25
2020-09-13_22,0.25
2020-09-13_23,0.25
2020-09-14_00,0.29
2020-09-14_01,0.3
2020-09-14_02,0.19
